id,question,answer_original,answer_yoda
train_38911,when did the first episode of dr who air,"History of Doctor Who The first (pilot) episode of the series, ""An Unearthly Child"", had to be re-recorded owing to technical problems and errors made during the performance. During the days between the two tapings, changes were made to costuming, effects, performances, and the script (which had originally featured a more callous Doctor, and Susan doing unexplained things such as flicking ink on paper and folding it to produce a symmetrical pattern, and then tracing shapes over the pattern). This second version of ""An Unearthly Child"", the first episode of the very first serial, was transmitted at 5.15Â pm on 23 November 1963, but due to both a power failure in certain areas of the country and the overshadowing news of US President John F. Kennedy's assassination, it drew minimal comment and was repeated the following week immediately before the second episode.","system The first (pilot) episode of the series, ""An Unearthly Child"", had to be re-recorded owing to technical problems and errors made during the performance. During the days between the two tapings, changes were made to costuming, effects, performances, and the script, which had originally featured a more callous Doctor, and Susan doing unexplained things such as flicking ink on paper and folding it to produce a symmetrical pattern, and then tracing shapes over the pattern. This second version of ""An Unearthly Child"", the first episode of the very first serial, was transmitted at"
train_7260,which individual or group has the power to propose an amendment to the federal constitution,"Convention to propose amendments to the United States Constitution A Convention to propose amendments to the United States Constitution, also called an Article V Convention or Amendments Convention, called for by two-thirds (currently 34) of the state legislatures, is one of two processes authorized by Article Five of the United States Constitution whereby the United States Constitution may be altered. Amendments may also be proposed by the Congress with a two-thirds vote in both the House of Representatives and the Senate.[1]","To propose amendments to the United States Constitution, a Convention, also called an Article V Convention or Amendments Convention, called for by two-thirds (currently 34) of the state legislatures, is one of two processes authorized by Article Five of the United States Constitution, it is. The United States Constitution may be altered, by this process, you can. Proposed by the Congress, also, with a two-thirds vote in both the House of Representatives and the Senate, amendments may be. The United States Constitution, may be altered, by this process, you can. Proposed by the Congress, also, with"
train_82238,what does the song ticket to ride mean,"Ticket to Ride While the lyrics describe a girl ""riding out of the life of the narrator"",[20] the inspiration of the title phrase is unclear,[6] as is the meaning of the song.[21] McCartney said the title referred to ""a British Railways ticket to the town of Ryde on the Isle of Wight"",[11] and Lennon said it described cards indicating a clean bill of health carried by Hamburg prostitutes in the 1960s.[20] The Beatles played in Hamburg early in their musical career, and a ""ride"" was British slang for having sex.[21] Gaby Whitehill and Andrew Trendall of Gigwise have interpreted the song to be about a woman leaving her boyfriend to become a prostitute.[22]","While the lyrics describe a girl ""riding out of the life of the narrator, the inspiration of the title phrase is unclear, as is the meaning of the song. McCartney said the title referred to ""a British Railways ticket to the town of Ryde on the Isle of Wight, and Lennon said it described cards indicating a clean bill of health carried by Hamburg prostitutes in the 1960s. The Beatles played in Hamburg early in their musical career, and a 'ride' was British slang for having sex. Gaby Whitehill and Andrew Trendall"
train_29457,who won the supercar drivers championship in 2002,"2002 V8 Supercar Championship Series The 2002 V8 Supercar Championship Series was an Australian based motor racing series for V8 Supercars. It began on 15 March 2002 at the Adelaide Street Circuit and ended on 1 December at Sandown International Raceway after 13 rounds. It was the fourth V8 Supercar Championship Series but the first to carry that name, previous championships having been contested as the ""Shell Championship Series"". The winner of the Drivers Championship, Mark Skaife, was also awarded the 43rd Australian Touring Car Championship.","The 2002 V8 Supercar Championship Series, an Australian based motor racing series for V8 Supercars, was. Began on 15 March 2002 at the Adelaide Street Circuit and ended on 1 December at Sandown International Raceway after 13 rounds, it did. The fourth V8 Supercar Championship Series, but the first to carry that name, it was. Previous championships, as the ""Shell Championship Series"", contested, they were. The winner of the Drivers Championship, Mark Skaife, also awarded the 43rd Australian Touring Car Championship, he was."
train_24930,when did america become the united states of america,"History of the United States Armed conflict began in 1775. In 1776, the Second Continental Congress declared the independence of the colonies as the United States of America. Led by General George Washington, it won the Revolutionary War with large support from France. The peace treaty of 1783 gave the new nation the land east of the Mississippi River (except Canada and Florida). The Articles of Confederation established a central government, but it was ineffectual at providing stability, as it could not collect taxes and had no executive officer. A convention in 1787 wrote a new Constitution that was adopted in 1789. In 1791, a Bill of Rights was added to guarantee inalienable rights. With Washington as the first president and Alexander Hamilton his chief adviser, a strong central government was created. Purchase of the Louisiana Territory from France in 1803 doubled the size of the United States. A second and final war with Britain was fought in 1812, which solidified national pride.","Begun in 1775, the history of the United States armed conflict was. In 1776, the Second Continental Congress the independence of the colonies as the United States of America declared. Led by General George Washington, the Revolutionary War with large support from France, it won. The peace treaty of 1783 the new nation the land east of the Mississippi River (except Canada and Florida) gave. A central government, the Articles of Confederation established, but ineffectual at providing stability, it was. A new Constitution, a convention in 1787 wrote, which in 1789 adopted was. In 179"
train_469,are pumas cougars and mountain lions the same animal,"Cougar The cougar (Puma concolor), also commonly known as the mountain lion, puma, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the greatest of any large wild terrestrial mammal in the Western Hemisphere.[3] An adaptable, generalist species, the cougar is found in most American habitat types. It is the second-heaviest cat in the New World, after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although there are daytime sightings.[4][5][6][7] The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae,[1][8][9] of which only the jaguar is native to the Americas.","The cougar (Puma concolor), also known as the mountain lion, puma, panther, or catamount, a large felid of the subfamily Felinae native to the Americas, is. Its range, from the Canadian Yukon to the southern Andes of South America, the greatest of any large wild terrestrial mammal in the Western Hemisphere, is. An adaptable, generalist species, the cougar is found in most American habitat types. The second-heaviest cat in the New World, after the jaguar, it is. Secretive and largely solitary by nature, the cougar is properly considered both"
train_32924,who did vocals for mcdonald's i'm loving it,"I'm Lovin' It (song) ""I'm Lovin' It"" is a song recorded by American singer-songwriter Justin Timberlake. It was written by Pusha T and produced by The Neptunes.","A song recorded by American singer-songwriter Justin Timberlake, ""I'm Lovin' It"" is. Written by Pusha T, and produced by The Neptunes, it was."
train_69846,who did the restoration restore to power in england,"Restoration (England) The Restoration of the English monarchy took place in the Stuart period. It began in 1660 when the English, Scottish and Irish monarchies were all restored under King Charles II. It followed the Interregnum, also called The Protectorate, that followed the Wars of the Three Kingdoms.","The Restoration of the English monarchy took place in the Stuart period. In 1660, the English, Scottish, and Irish monarchies were all restored under King Charles II. The Interregnum, also called The Protectorate, followed the Wars of the Three Kingdoms. Restored under King Charles II, the English, Scottish, and Irish monarchies were. The Restoration of the English monarchy, in the Stuart period, took place. The Interregnum, also called The Protectorate, followed the Wars of the Three Kingdoms. The English, Scottish, and Irish monarchies, in 1660, were all restored under King Charles II"
train_56399,which factor most directly resulted in great britain entering world war i,"History of the United Kingdom during the First World War The ostensible reason given was that Britain was required to safeguard Belgium's neutrality under the 1839 Treaty of London. The German invasion of Belgium was, therefore, the casus belli and, importantly, legitimized and galvanized popular support for the war.","During the First World War, the history of the United Kingdom, there was. The ostensible reason given was that Britain was required to safeguard Belgium's neutrality under the 1839 Treaty of London. The German invasion of Belgium was, therefore, the casus belli and, importantly, legitimized and galvanized popular support for the war."
train_67380,according to the doppler effect the sound of a police car siren is,"Doppler effect The siren on a passing emergency vehicle will start out higher than its stationary pitch, slide down as it passes, and continue lower than its stationary pitch as it recedes from the observer. Astronomer John Dobson explained the effect thus:","The siren on a passing emergency vehicle, higher than its stationary pitch, start out will, down as it passes, slide, and lower than its stationary pitch, as it recedes from the observer, continue, will. Astronomer John Dobson, explained the effect thus, did."
train_36540,when does marilla die in anne of green gables,"Anne of Green Gables: The Continuing Story The film was also criticised for introducing a continuity problem. Following Colleen Dewhurst's death in 1991, Marilla Cuthbert's death was written into the series Road to Avonlea. At Marilla's funeral, Hetty King refers to Gilbert and Anne Blythe, stating they were married. Anne does not appear in the Avonlea episode because she is sick with scarlet fever. The Continuing Story, which takes place five years later, attempts to resolve the discontinuity by revealing that Anne had scarlet fever while she was teaching at an orphanage in Nova Scotia.","The Continuing Story, The film also criticised for introducing a continuity problem was. Following Colleen Dewhurst's death in 1991, Marilla Cuthbert's death into the series Road to Avonlea was written. At Marilla's funeral, Hetty King refers to Gilbert and Anne Blythe, stating they married they were. Anne does not appear in the Avonlea episode because sick with scarlet fever she is. The, five years later, which takes place, attempts to resolve the discontinuity by revealing that Anne had scarlet fever while teaching at an orphanage in Nova Scotia, does."
train_37532,who voices nia in gurren lagann english dub,"Hynden Walch She is best known for voicing Princess Bubblegum in Adventure Time, Starfire in Teen Titans, Penny Sanchez on the Nickelodeon show ChalkZone, Elsie on the Disney Channel show Stanley, Ace in Justice League and Justice League Unlimited, Harley Quinn in The Batman and in anime, she has voiced Amy Stapleton in IGPX, Emiri Kimidori in The Melancholy of Haruhi Suzumiya, Yutaka Kobayakawa in Lucky Star and Nia Teppelin in Tengen Toppa Gurren Lagann. In 1989, Walch received the Presidential Scholarship and went to the UNC School of the Arts in Winston-Salem, North Carolina. After UNC, she went to Chicago, Illinois, where she did plays.","Hynden Walch, she is best known for voicing Princess Bubblegum in Adventure Time, Starfire in Teen Titans, Penny Sanchez on the Nickelodeon show ChalkZone, Elsie on the Disney Channel show Stanley, Ace in Justice League and Justice League Unlimited, Harley Quinn in The Batman and in anime, she has voiced Amy Stapleton in IGPX, Emiri Kimidori in The Melancholy of Haruhi Suzumiya, Yutaka Kobayakawa in Lucky Star and Nia Teppelin in Tengen Toppa Gurren Lagann. In 1989,"
train_55326,who was the main actress in the shape of water,"The Shape of Water The Shape of Water is a 2017 American romantic dark fantasy drama film directed by Guillermo del Toro and written by del Toro and Vanessa Taylor.[3][4] It stars Sally Hawkins, Michael Shannon, Richard Jenkins, Doug Jones, Michael Stuhlbarg, and Octavia Spencer. Set in Baltimore in 1962, the story follows a mute custodian at a high-security government laboratory who falls in love with a captured humanoid amphibian creature.","system A 2017 American romantic dark fantasy drama film, The Shape of Water is. Directed by Guillermo del Toro and written by del Toro and Vanessa Taylor, it is. Stars Sally Hawkins, Michael Shannon, Richard Jenkins, Doug Jones, Michael Stuhlbarg, and Octavia Spencer, it does. In Baltimore in 1962, set, the story is. A mute custodian at a high-security government laboratory, in love with a captured humanoid amphibian creature, he is. The shape of water, he falls in love with. The shape of water, a 2017 American romantic dark fantasy drama"
train_8813,when did lenny from law and order die,"Lennie Briscoe Briscoe died at some point between 2004 and 2005 (Orbach himself died on December 28, 2004). Although not addressed directly on the main series until 2008 (and mentioned again in 2009), his death was implied in 2005 and confirmed in 2007 on an episode of the Law & Order: Criminal Intent series. The three official mentions of his death were made by each of his three junior partners on the series, Mike Logan, Rey Curtis, and Ed Green.","Died at some point between 2004 and 2005, Lennie Briscoe Briscoe did. Until 2008, on the main series, addressed directly he was not. Implied in 2005, his death was, and confirmed in 2007, on an episode of Law & Order: Criminal Intent, he was. On the series, his death, by each of his three junior partners, mentioned, he was. Mike Logan, Rey Curtis, and Ed Green, his death, mentioned, they did."
train_62082,who has won the tour de france five times,"List of Tour de France general classification winners Jacques Anquetil, Eddy Merckx, Bernard Hinault and Miguel Indurain, have won the most Tours with five each. Indurain is the only man to win five consecutive Tours. Henri Cornet is the youngest winner; he won in 1904, just short of his 20th birthday. Firmin Lambot is the oldest winner, having been 36 years, 4 months old when he won in 1922.[3] French cyclists have won the most Tours; 21 cyclists have won 36 Tours among them. Belgian cyclists are second with 18 victories, and Spanish riders are third with 12 wins.[4] The most recent winner is Geraint Thomas of Team Sky, who won the 2018 Tour, his first. His team, Team Sky, have provided three of the last four individual winners, all British, between them winning six of the last seven Tours[5]","The most Tours with five each, Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Indurain have won. Indurain, the only man to win five consecutive Tours, is. The youngest winner, in 1904, just short of his 20th birthday, Henri Cornet is. The oldest winner, 36 years, 4 months old when he won in 1922, Firmin Lambot is. French cyclists the most Tours, 21 of them have won, 36 Tours among them. Second with 18 victories, Belgian cyclists are, and Spanish riders third with"
train_63220,where does fosters home for imaginary friends take place,"Foster's Home for Imaginary Friends Foster's Home for Imaginary Friends is an American animated television series created by Craig McCracken for Cartoon Network Studios. The series, set in a world in which imaginary friends coexist with humans, centers on an eight-year-old boy, Mac, who is pressured by his mother to abandon his imaginary friend, Bloo. After Mac discovers an orphanage dedicated to housing abandoned imaginary friends, Bloo moves into the home and is kept from adoption so long as Mac visits him daily. The episodes revolve around Mac and Bloo as they interact with other imaginary friends and house staff and live out their day-to-day adventures, often getting caught up in various predicaments.","An American animated television series, Foster's Home for Imaginary Friends is. Created by Craig McCracken for Cartoon Network Studios, it is. In a world in which imaginary friends coexist with humans, set, the series is. An eight-year-old boy, Mac, who is pressured by his mother to abandon his imaginary friend, Bloo, the series centers on. An orphanage dedicated to housing abandoned imaginary friends, the series is set in. Into the home and is kept from adoption so long as Mac visits him daily, Bloo moves. Interact with other imaginary friends and house staff, and live out"
train_233,when did harry potter and the deathly hallows part 1 come out,Harry Potter and the Deathly Hallows – Part 1 The story follows Harry Potter who has been tasked by Dumbledore with finding and destroying Lord Voldemort's secret to immortality – the Horcruxes. Filming began on 19 February 2009 (2009-02-19) and was completed on 12 June 2010 (2010-06-12).[5] Part 1 was released in 2D cinemas and IMAX formats worldwide on 19 November 2010.[6][7][8][9],"Tasked by Dumbledore, Harry Potter was, with finding and destroying Lord Voldemort's secret to immortality – the Horcruxes. Filming began on 19 February 2009, and was completed on 12 June 2010. In 2D cinemas and IMAX formats worldwide, released on 19 November 2010, Part 1 was. The story follows Harry Potter, who has been tasked by Dumbledore with finding and destroying Lord Voldemort's secret to immortality – the Horcruxes. Filming began on 19 February 2009, and was completed on 12 June 201"
train_25053,who was the pale rider supposed to be,"Pale Rider Pale Rider is a 1985 American western film produced and directed by Clint Eastwood, who also stars in the lead role. The title is a reference to the Four Horsemen of the Apocalypse, as the rider of a pale horse is Death. The film, which took in nearly $41 million at the box office, became the highest grossing Western of the 1980s.[3]","A 1985 American western film, produced and directed by Clint Eastwood, is Pale Rider. The lead role, he stars in. A reference to the Four Horsemen of the Apocalypse, the title is. Death, the rider of a pale horse is. At the box office, nearly $41 million, it took in. The highest grossing Western of the 1980s, it became. The film, the box office, the 1980s. The, a. The, a. The, a. The, a. The, a. The, a. The,"
train_88431,i know i'll never find another you song,"I'll Never Find Another You ""I'll Never Find Another You"" is a 1964 single by The Seekers which reached No. 1 in the UK in February 1965.[1] It was The Seekers' first UK-released single,[1] and was the second-best selling single of 1965 in the UK.[2] The song was also popular in the US, reaching peaks of No. 4 pop and No. 2 easy listening on the Billboard Hot 100 charts.[3]","A 1964 single by The Seekers, ""I'll Never Find Another You"" is. In the UK in February 1965, No. 1 reached. The first UK-released single by The Seekers, it was. In the UK, the second-best selling single of 1965, it was. In the US, popular it was, peaks of No. 4 pop and No. 2 easy listening on the Billboard Hot 100 charts, reached."
train_86544,who won rupaul drag race all stars 3,"RuPaul's Drag Race All Stars (season 3) The winner of the third season of RuPaul's Drag Race All Stars was Trixie Mattel, with Kennedy Davenport being the runner-up.","The winner of the third season of RuPaul's Drag Race All Stars, Trixie Mattel was. Kennedy Davenport, the runner-up, was."
train_19896,where are death row inmates housed in ohio,"Capital punishment in Ohio Executions in Ohio are currently performed at the Southern Ohio Correctional Facility in Lucasville. Since January 2012, death row for the majority of male inmates is located at the Chillicothe Correctional Institution (CCI) in Chillicothe. A few high security male death row inmates are held at the Ohio State Penitentiary (OSP) in Youngstown. Condemned female inmates are housed at the Ohio Reformatory for Women in Marysville and death row inmates with serious medical conditions are held at the Franklin Medical Center in Columbus.[4] Prior to this, most male death row inmates were held at OSP with a few being held at the Mansfield Correctional Institution in Mansfield. The move to CCI allows the units at OSP and Mansfield to be used to separate violent inmates from the general population and will provide increased security and reduce transportation costs to both the execution chamber at SOCF and to the Franklin Medical Center for inmate medical treatment.[4][5]","In Lucasville, Ohio, executions are performed at the Southern Ohio Correctional Facility. Since January 2012, death row for most male inmates is located at the Chillicothe Correctional Institution (CCI) in Chillicothe. A few high security male death row inmates are held at the Ohio State Penitentiary (OSP) in Youngstown. Condemned female inmates are housed at the Ohio Reformatory for Women in Marysville, and death row inmates with serious medical conditions are held at the Franklin Medical Center in Columbus. Prior to this, most male death row inmates were held at OSP with a few at"
train_6338,is american and canadian sign language the same,American Sign Language Varieties of ASL are found throughout the world. There is little difficulty in comprehension among the varieties of the United States and Canada.[23],"Found throughout the world, American Sign Language Varieties of ASL are. Comprehension among the varieties of the United States and Canada, there is little difficulty in."
train_57499,the boy in the plastic bubble based on true story,"The Boy in the Plastic Bubble The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, at the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ""What Would They Say"" was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.[citation needed]","A 1976 American made-for-television drama film, The Boy in the Plastic Bubble is. Inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems, it is. John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles, stars it does. Written by Douglas Day Stewart, a film, it is. Executive produced by Aaron Spelling and Leonard Goldberg, a film, it was. Randal Kleiser, directed it, who with Travolta again in Grease, would work. The original music"
train_297,when is the latin american celebration of carnival held,"Carnival Carnival (see other spellings and names) is a Western Christian festive season that occurs before the liturgical season of Lent.[2] The main events typically occur during February or early March, during the period historically known as Shrovetide (or Pre-Lent). Carnival typically involves a public celebration and/or parade combining some elements of a circus, masks, and a public street party. People wear masks and costumes during many such celebrations, allowing them to lose their everyday individuality and experience a heightened sense of social unity.[3] Excessive consumption of alcohol,[4] meat, and other foods proscribed during Lent is extremely common. Other common features of carnival include mock battles such as food fights; social satire and mockery of authorities; the grotesque body displaying exaggerated features, especially large noses, bellies, mouths, and phalli, or elements of animal bodies; abusive language and degrading acts; depictions of disease and gleeful death; and a general reversal of everyday rules and norms.[3][5]","A Western Christian festive season, carnival is. Before Lent, it occurs, and the main events in February or early March, happen. A public celebration and/or parade, carnival involves, with elements of a circus, masks, and a public street party. Masks and costumes, people wear, their everyday individuality lose, and a sense of social unity, experience. Excessive alcohol, meat, and other foods, during Lent proscribed, common, it is. Other features of carnival, mock battles, social satire, and a general reversal of rules, there are. Abusive language and degrading acts, and depictions of disease and"
train_47152,who plays cindy sanders in freaks and geeks,"Natasha Melnick Natasha Melnick (born April 10, 1984) is an American television and film actress. She is perhaps best known for her role as Cindy Sanders on the short-lived 1999 NBC comedy-drama Freaks and Geeks.","An American television and film actress, Natasha Melnick is. Perhaps best known for her role as Cindy Sanders, she is. On the short-lived 1999 NBC comedy-drama Freaks and Geeks, she is."
